#Period (s),Spec. Accel. (g),lnStdev
0.01,0.19983,0.43
0.02,0.19983,0.43
0.03,0.21694,0.43
0.04,0.24288,0.44
0.05,0.26785,0.44
0.06,0.28857,0.45
0.075,0.31805,0.46
0.09,0.33892,0.47
0.1,0.35845,0.47
0.12,0.39258,0.48
0.15,0.43705,0.48
0.17,0.45219,0.49
0.2,0.45931,0.5
0.24,0.44796,0.5
0.3,0.41705,0.51
0.36,0.38132,0.52
0.4,0.36087,0.52
0.46,0.32983,0.536
0.5,0.30779,0.54
0.6,0.27312,0.556
0.75,0.22736,0.564
0.85,0.20727,0.578
1,0.18158,0.594
1.5,0.12073,0.62
2,0.08829,0.64
3,0.04781,0.676
4,0.02924,0.696
5,0.02012,0.716
